2021-01-13|17:59:43|Ergonomic Keyboard|Amazon|-89.50
2021-03-01|10:14:51|Invoice 1086 paid|Global Marketing|2976.19
2021-03-18|18:16:00|Invoice 1053 paid|Maria Garcia|4583.60
2021-03-27|09:42:56|Invoice 1011 paid|Elena Rodriguez|4101.22
2022-07-03|11:54:04|Invoice 1088 paid|Global Marketing|2164.89
2022-08-04|13:00:12|Ergonomic Keyboard|Amazon|-89.50
2022-09-21|12:52:51|Invoice 1040 paid|Global Marketing|3385.51
2022-12-10|16:31:33|Invoice 1049 paid|Joe|3222.01
2023-02-03|13:19:15|Invoice 1035 paid|David Smith|2597.82
2023-03-21|20:30:41|Software Subscription|Adobe|-52.99
2023-07-05|18:41:55|Monitor Stand|Amazon|-34.95
2023-12-13|09:09:58|Monitor Stand|Amazon|-34.95
2024-03-07|16:57:47|Cloud Storage|Google One|-9.99
2024-03-09|20:54:21|Invoice 1026 paid|Global Marketing|2675.38
2024-03-23|16:03:50|Invoice 1041 paid|Joe|2464.84
2024-07-24|13:34:18|Internet Service|Comcast|-85.00
2025-01-18|18:43:47|Invoice 1088 paid|TechSolutions Ltd|4829.35
2025-04-02|20:12:51|Software Subscription|Adobe|-52.99
2025-09-11|18:02:30|Internet Service|Comcast|-85.00
2025-12-04|09:28:27|Lunch Meeting|Trattoria Bella|-62.80
2026-01-15|14:20:00|Ergonomic Mouse|Amazon|-65.00
2026-02-10|11:05:30|Invoice 1101 paid|Joe|1500.00
2026-03-05|09:45:15|Subscription Renewal|Adobe|-52.99
2026-04-05|22:44:47|Standing Desk|FlexiSpot|-500.00
2026-04-10|22:43:55|Invoice 1002 paid|Joseph|1400.00
2026-04-15|15:07:18|Ergonomic Keyboard|Amazon|-89.50
2026-04-27|15:06:26|Invoice 1001 paid|Joe|1500.00
2026-04-30|14:01:14|Invoice 2001 Paid|Joseph|1478.00
2026-04-30|14:01:53|Credit Card Discover|Discover|-500.00
